x,y,theta,varphi,v,omega_s
0.000000000000000000e+00,0.000000000000000000e+00,2.761099999999999888e+00,0.000000000000000000e+00,8.975274678557508545e-02,-1.384876209316615765e-02
-1.000000000000000000e+00,4.000000000000000222e-01,2.379255048199600431e+00,-1.661851451179938988e-01,1.046934326680082072e-01,-7.891784712198274959e-03
-1.500000000000000000e+00,1.500000000000000000e+00,1.570796326794896558e+00,-1.744084421395818985e-01,1.196341185504413152e-01,-2.748076793626625230e-18
-1.000000000000000000e+00,2.600000000000000089e+00,7.623376053901926852e-01,-1.661851451179939543e-01,1.196522237989373627e-01,-6.169255485795426517e-05
0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,-1.755867699373688251e-01,1.196703290474334103e-01,0.000000000000000000e+00
1.000000000000000000e+00,2.600000000000000089e+00,-7.623376053901926852e-01,-1.661851451179939543e-01,1.196522237989373627e-01,6.169255485795426517e-05
1.500000000000000000e+00,1.500000000000000000e+00,-1.570796326794896558e+00,-1.744084421395818985e-01,1.196341185504413152e-01,2.748076793626625230e-18
1.000000000000000000e+00,4.000000000000000222e-01,-2.379255048199600431e+00,-1.661851451179938988e-01,1.046934326680082072e-01,7.891784712198274959e-03
0.000000000000000000e+00,0.000000000000000000e+00,-2.761099999999999888e+00,0.000000000000000000e+00,8.975274678557508545e-02,1.384876209316615765e-02
